Data Publikacji,Aktywa Trwa?e,Warto?ci niematerialne i prawne,Warto?c firmy,Rzeczowe sk?adniki maj?tku trwa?ego,Aktywa z tytu?u prawa do u?ytkowania,Nale?no?ci d?ugoterminowe,Inwestycje d?ugoterminowe,Pozsta?e aktywa trwa?e,Aktywa obrotowe,Zapasy,Nale?no?ci krótkoterminowe,Inwestycje krótkoterminowe,?rodki pieni??ne i inne aktywa pieni??ne,Pozosta?e aktywa obrotowe,Aktywa trwa?e przeznaczone do sprzeda?y,Aktywa razem,Kapita? w?asny akcjonariuszy jednostki dominuj?cej,Kapita? podstawowy,Kapita? zapasowy,Udzia?y niekontroluj?ce,Zobowi?zania d?ugoterminowe,Z tytu?u dostaw i us?ug,Kredyty i po?yczki,Zobowi?zania z tytu?u leasingu finansowego,Inne zobowi?zania d?ugoterminowe,Zobowi?zania krótkoterminowe,Z tytu?u dostaw i us?ug2,Kredyty i po?yczki2,Zobowi?zania z tytu?u leasingu finansowego2,Inne zobowi?zania krótkoterminowe,Pasywa Razem
2006,20885532,704786,0,18510754,0,0,1594763,75229,12518779,6113237,4827205,1343640,1126803,145853,88844,33404311,16671837,1057635,1227253,2641152,5553853,0,3405978,0,2147875,8537469,6684050,1110819,0,742600,33404311
2007,27660798,851209,0,25199681,0,0,1327432,282476,17758286,7398856,6546713,2660751,2351320,121358,1030608,45419084,18850940,1057635,1227253,2731623,8958143,0,6211193,0,2746950,14878378,8221395,4277912,0,2379071,45419084
2008,26736337,616828,0,24833925,0,129206,831729,324649,19366488,10365409,6999836,1666189,1498232,146892,188162,46102825,19935335,1057635,1227253,2637425,11091402,0,8602721,0,2488681,12438663,9181243,1719223,0,1538197,46102825
2009,29280856,644681,0,26268757,0,87746,1695063,584609,17694894,9089047,6748216,1602056,1344224,204088,51487,46975750,17813091,1057635,1227253,2718556,4634178,0,2610651,0,2023527,21809925,8377167,11282114,0,2150644,46975750
2010,29655024,690376,0,27070437,0,46947,1532706,314558,19433046,10619859,5451518,3122044,2941039,207447,32178,49088070,19037903,1057635,1227253,2669308,13223343,0,11610532,0,1612811,14157516,11494542,1593695,0,1069279,49088070
2011,30430874,1199063,0,27403013,0,49130,1615775,163893,20718918,11294851,6337075,3045343,2820742,0,41649,51149792,21627938,1057635,1227253,2612015,10667861,0,9123987,0,1543874,16241978,13435998,1543740,0,1262240,51149792
2012,28599141,1418708,0,26578651,0,30966,171290,399526,30132337,16296517,8104695,5702600,5409166,0,28525,58731478,24533773,1057635,1227253,2264910,12120002,0,10537792,0,1582210,19812793,15092524,2459799,0,2260470,58731478
2013,26810637,1545077,0,24743734,0,54865,170022,296939,25820143,15011047,8164927,2579550,2211425,0,64619,52630780,26479187,1057635,1227253,1827646,9196658,0,7678446,0,1518212,15127289,12655891,1294641,0,1176757,52630780
2014,26907000,944000,34000,25294000,0,0,172000,497000,24445000,13749000,7827000,2854000,2893000,0,15000,51352000,25948000,1058000,1227000,1603000,7846000,0,6603000,0,1243000,15955000,14143000,911000,0,901000,51352000
2015,24971000,792000,38000,22644000,0,0,823000,712000,21754000,9829000,7092000,4799000,3937000,0,34000,46725000,18771000,1058000,1227000,1615000,12305000,0,9670000,0,2635000,14034000,11215000,987000,1020000,812000,46725000
2016,27362000,1397000,41000,24536000,0,0,917000,512000,20775000,10715000,6641000,3322000,2348000,0,97000,48137000,22173000,1058000,1227000,2071000,10227000,0,8131000,0,2096000,13666000,10658000,1027000,870000,1111000,48137000
2017,30321000,1377000,50000,27671000,0,0,862000,411000,25238000,11182000,8674000,5321000,5072000,0,61000,55559000,26764000,1058000,1227000,2522000,9652000,0,7446000,0,2206000,16621000,14250000,989000,572000,810000,55559000
2018,31740000,1272000,49000,29071000,0,0,1061000,336000,28924000,12440000,9598000,6678000,6244000,133000,75000,60664000,32197000,1058000,1227000,3014000,9071000,0,6688000,0,2383000,16382000,14469000,317000,0,1596000,60664000
2019,33867000,1323000,50000,31325000,0,0,811000,408000,30164000,14317000,10593000,4716000,4192000,336000,202000,64031000,35634000,1058000,1227000,12000,11487000,0,8598000,0,2889000,16898000,13699000,1193000,0,2006000,64031000
2020,39277000,1600000,50000,36304000,3953000,13000,988000,372000,31925000,15074000,9945000,6402000,6159000,466000,38000,71202000,38596000,1058000,1227000,11000,14315000,0,8185000,3380000,2750000,18280000,15132000,422000,618000,2108000,71202000
2021,59212000,2534000,50000,54639000,5252000,2000,934000,1103000,24615000,12279000,10089000,1691000,1240000,530000,26000,83827000,41596000,1058000,1227000,783000,18524000,0,9430000,4501000,4593000,22924000,14024000,4930000,713000,3257000,83827000
2022,68706000,4829000,579000,60965000,5602000,0,1468000,1444000,38048000,18410000,15170000,4045000,2896000,423000,0,106754000,51707000,1058000,1227000,871000,23883000,0,13742000,4876000,5265000,30293000,19811000,1420000,679000,8383000,106754000
